spec_id,farmer_uid,data_year,moisture,color,rice_impurity,rice_husk,good_grain_pct,broken_grain_pct,grade,variety,status,price_riel
3622,PONG KRIEL|PK051,2023,13,Good,1,1,92,8,A1,Phka Rumduol,Organic,1950
3623,PONG KRIEL|PK052,2023,13,Good,1,1,96,4,A1,Phka Rumduol,Organic,1950
3624,PONG KRIEL|PK053,2023,14,Good,0,1,0,0,A,White Rice,Organic,1550
3625,PONG KRIEL|PK053,2023,14,Good,0,1,0,0,A,White Rice,Organic,1550
3626,PONG KRIEL|PK053,2023,13,Good,1,1,96,4,A1,Phka Rumduol,Organic,1950
3627,PONG KRIEL|PK056,2023,13,Good,1,1,78,22,A1,Phka Rumduol,Organic,1950
3628,PONG KRIEL|PK058,2023,13,Good,1,1,83,17,A1,Phka Rumduol,Organic,1950
3629,PONG KRIEL|PK060,2023,13,Good,1,1,88,12,A1,Phka Rumduol,Organic,1950
3630,PONG KRIEL|PK061,2023,13,Good,2,1,88,12,A1,Phka Rumduol,New_Organic,0
3631,PONG KRIEL|PK062,2023,13,Good,1,1,83,17,A1,Phka Rumduol,Organic,1950
3632,PONG KRIEL|PK063,2023,13,Good,0,0.72,0,0,A,White Rice,Organic,1550
3633,PONG KRIEL|PK063,2023,13,Good,1,1,98,2,A1,Phka Rumduol,Organic,1950
3634,PONG KRIEL|PK064,2023,13,Good,1,1,87,13,A1,Phka Rumduol,New_Organic,0
3635,PONG KRIEL|PK064,2023,13,MEDIUM,5,6,50,50,B2,Phka Rumduol,New_Organic,1750
3636,PONG KRIEL|PK067,2023,13,Good,0,2,0,0,A,White Rice,Organic,1550
3637,PONG KRIEL|PK067,2023,13,Good,0,2,0,0,A,White Rice,Organic,1550
3638,PONG KRIEL|PK067,2023,13,Good,2,1,84,16,A1,Phka Rumduol,Organic,1950
3639,PONG KRIEL|PK067,2023,13,Good,4,,76,24,A2,Red Jasmine,Organic,1950
3640,PONG KRIEL|PK067,2023,13,Good,,2,76,24,A1,Red Jasmine,Organic,2050
3641,PONG KRIEL|PK070,2023,13,Good,1,1,90,10,A1,Phka Rumduol,Organic,1950
3642,PONG KRIEL|PK070,2023,13,Good,,1,76,24,A1,Red Jasmine,Organic,2050
3643,PONG KRIEL|PK070,2023,13,Good,,1,76,24,A1,Red Jasmine,Organic,2050
3644,PONG KRIEL|PK073,2023,13,Good,1,1,98,2,A1,Phka Rumduol,Organic,1950
3645,PONG KRIEL|PK073,2023,16.4,MEDIUM,4,28,60,4,B1,Phka Rumduol,Organic,1700
3646,PONG KRIEL|PK073,2023,14,MEDIUM,,4,,,B,White Rice,Organic,1500
3647,PONG KRIEL|PK075,2023,13,Good,0.4,0.3,86,14,A1,Phka Rumduol,Organic,1950
