survey_id,farmer_uid,data_year,age,education,household_member,women,total_income_riel,spend_riel,homestead,cattle,buffalo
980,DANG PHLET|DP249,2020,,,,,,,,,
2770,DANG PHLET|DP249,2021,,,,,,,,,
3459,DANG PHLET|DP249,2022,,,,,,,1500,0,0
83,DANG PHLET|DP250,2019,,,,,,,,,
981,DANG PHLET|DP250,2020,,,,,,,,,
3048,DANG PHLET|DP250,2021,,,,,,,,,
3460,DANG PHLET|DP250,2022,,,,,,,750,0,0
5010,DANG PHLET|DP250,2023,,,,,,,750,0,0
7038,DANG PHLET|DP250,2024,63,Primary,2,2,4,3,750,0,0
84,DANG PHLET|DP251,2019,,,,,,,,,
982,DANG PHLET|DP251,2020,,,,,,,,,
2802,DANG PHLET|DP251,2021,,,,,,,,,
7039,DANG PHLET|DP251,2024,29,Secondary,5,2,10,8,1000,0,0
9267,DANG PHLET|DP251,2025,29,Secondary,5,2,10,13,1000,0,0
7040,DANG PHLET|DP252,2024,35,Primary,4,2,10,10,1000,4,0
9268,DANG PHLET|DP252,2025,37,Primary,4,2,10,10,1000,4,0
85,DANG PHLET|DP261,2019,,,,,,,,,
983,DANG PHLET|DP261,2020,,,,,,,,,
2876,DANG PHLET|DP261,2021,,,,,,,,,
3461,DANG PHLET|DP261,2022,,,,,,,1000,0,0
5011,DANG PHLET|DP261,2023,,,,,,,1000,0,0
7041,DANG PHLET|DP261,2024,33,Primary,7,4,10,5,1000,9,0
9269,DANG PHLET|DP261,2025,33,Primary,7,4,10,10,1000,8,0
86,DANG PHLET|DP265,2019,,,,,,,,,
984,DANG PHLET|DP265,2020,,,,,,,,,
2882,DANG PHLET|DP265,2021,,,,,,,,,
3462,DANG PHLET|DP265,2022,,,,,,,750,0,0
985,DANG PHLET|DP266,2020,,,,,,,,,
2800,DANG PHLET|DP266,2021,,,,,,,,,
3463,DANG PHLET|DP266,2022,,,,,,,750,0,0
5012,DANG PHLET|DP266,2023,,,,,,,750,0,0
7042,DANG PHLET|DP266,2024,30,Primary,6,3,10,9.5,750,0,0
9270,DANG PHLET|DP266,2025,31,Primary,6,4,15,14,750,0,0
9271,DANG PHLET|DP268,2025,32,Secondary,4,3,18,17,1200,0,0
87,DANG PHLET|DP284,2019,,,,,,,,,
986,DANG PHLET|DP284,2020,,,,,,,,,
2711,DANG PHLET|DP284,2021,,,,,,,,,
3464,DANG PHLET|DP284,2022,,,,,,,100,0,0
5013,DANG PHLET|DP284,2023,,,,,,,100,0,0
7043,DANG PHLET|DP284,2024,52,Primary,5,3,1,2,100,0,0
9272,DANG PHLET|DP284,2025,50,Primary,6,4,8,6,100,0,0
88,DANG PHLET|DP289,2019,,,,,,,,,
987,DANG PHLET|DP289,2020,,,,,,,,,
